lot_frontage,overall_qual,mas_vnr_area,exter_qual,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,total_bsmt_sf,heating_qc,central_air,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,kitchen_qual,totrms_abvgrd,fireplaces,garage_type,garage_finish,garage_cars,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,fence,log_saleprice,yrs_since_year_remod_add,yrs_since_year_built,log_lot_area,ms_zoning_rm,ms_zoning_others,lot_shape_reg,lot_shape_others,neighborhood_collgcr,neighborhood_crawfor,neighborhood_edwards,neighborhood_gilbert,neighborhood_idotrr,neighborhood_mitchel,neighborhood_names,neighborhood_nwames,neighborhood_noridge,neighborhood_nridght,neighborhood_oldtown,neighborhood_sawyer,neighborhood_sawyerw,neighborhood_somerst,neighborhood_stonebr,neighborhood_timber,neighborhood_others,roof_style_hip,roof_style_others,exterior_1st_hdboard,exterior_1st_metalsd,exterior_1st_plywood,exterior_1st_vinylsd,exterior_1st_wd_sdng,exterior_1st_others,mas_vnr_type_none,mas_vnr_type_others,foundation_cblock,foundation_pconc,foundation_others,ms_subclass_30,ms_subclass_50,ms_subclass_60,ms_subclass_70,ms_subclass_80,ms_subclass_120,ms_subclass_160,ms_subclass_others
21.0,6,232.0,3,3,3,1,5,387.0,483.0,3,1,483,504,987,0.0,1,1,3,4,0,1,1,1.0,2,0,0,0,0,11.355101379776661,50,50,7.426549072397305,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
64.0,7,0.0,4,4,3,3,6,393.0,1208.0,5,1,1208,0,1208,0.0,2,0,4,6,0,5,2,2.0,2,105,58,0,0,12.120514757168527,16,16,8.921057018157429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
120.0,5,0.0,4,0,0,0,0,0.0,0.0,5,1,1288,728,2016,0.0,1,0,3,7,1,5,1,2.0,1,0,0,0,0,11.782952602183288,14,141,10.181119289134408,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
24.0,8,456.0,4,4,3,1,6,813.0,960.0,5,1,962,645,1607,1.0,2,1,4,7,0,1,1,2.0,2,169,0,0,0,12.206072645530174,21,22,7.8804263442924,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
74.0,7,0.0,4,4,3,3,6,24.0,1351.0,5,1,1361,0,1361,0.0,2,0,4,6,0,5,2,2.0,2,0,50,0,0,12.170445467887022,14,14,9.172326929777967,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
93.0,5,0.0,3,5,3,3,1,0.0,1430.0,5,1,1430,0,1430,0.0,2,0,4,7,0,5,2,2.0,2,0,0,0,0,12.063932878369052,16,17,9.221675881639928,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
34.0,5,0.0,3,3,3,1,1,0.0,624.0,2,0,624,720,1344,0.0,1,0,3,7,0,1,1,3.0,2,0,0,96,0,11.49272275765271,71,105,8.427487278331744,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
80.0,5,0.0,3,3,3,1,3,651.0,1121.0,3,1,1121,0,1121,1.0,1,0,3,5,0,1,1,2.0,2,0,80,0,3,11.842229212112828,58,58,9.084323531392696,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
71.0,6,148.0,3,3,3,1,1,0.0,660.0,5,1,1285,0,1285,0.0,1,1,3,7,1,5,2,2.0,2,138,0,0,3,11.874090314181814,44,44,9.011523512653032,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72.0,7,0.0,3,4,3,2,6,24.0,756.0,5,1,764,783,1547,0.0,2,1,4,7,0,5,1,2.0,2,169,45,0,0,12.279323107269766,12,12,9.064157861798101,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
109.0,5,0.0,3,4,3,1,4,492.0,894.0,4,1,894,0,894,0.0,1,0,3,5,1,5,3,2.0,2,0,0,0,0,11.76756768334381,53,53,9.07383312732152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
40.0,8,0.0,4,4,3,1,6,1158.0,1501.0,5,1,1659,0,1659,1.0,2,0,5,5,1,5,3,2.0,2,212,59,0,0,12.535376392672774,21,21,8.641885635373555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
103.0,8,0.0,4,5,3,3,1,0.0,1209.0,5,1,1209,1044,2253,0.0,2,1,5,8,1,5,3,2.0,2,243,142,0,0,12.748783489541202,15,16,9.46242117318499,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
64.89537912238875,6,0.0,3,4,3,1,5,935.0,1168.0,5,1,1187,0,1187,1.0,2,0,3,6,0,5,3,2.0,2,483,21,0,4,12.128111104060462,14,29,8.984693690443855,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
100.0,5,0.0,3,3,3,2,3,1056.0,1056.0,3,0,1056,0,1056,1.0,1,0,3,5,0,5,3,2.0,2,264,0,0,0,11.884489021402711,66,66,10.453053004618049,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
92.0,6,3.0,3,3,3,1,3,1312.0,1453.0,5,1,1453,0,1453,1.0,2,0,3,6,1,5,2,2.0,2,0,49,0,4,12.141534124392603,60,60,9.266058860732526,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65.0,5,0.0,3,3,3,1,6,553.0,894.0,5,1,894,0,894,1.0,1,0,3,5,1,1,1,1.0,2,416,144,0,3,11.83862560460953,12,56,9.041921720351219,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
77.23625157830219,5,0.0,3,3,3,1,4,606.0,942.0,5,1,1265,673,1938,0.0,2,0,4,7,1,1,1,1.0,2,0,40,0,0,12.196022309676673,26,84,9.367344120785848,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
75.0,5,0.0,3,3,3,1,1,0.0,957.0,2,0,1034,957,1991,0.0,2,0,3,9,0,0,0,0.0,0,0,0,133,0,11.691908120498669,15,126,9.017968479328726,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
60.0,5,0.0,3,3,3,2,1,0.0,672.0,5,1,672,252,924,0.0,1,0,3,6,1,1,1,2.0,2,0,0,0,3,11.719126295554126,15,72,8.99516499031115,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
80.0,8,0.0,4,4,3,1,5,1104.0,2524.0,3,1,2524,0,2524,1.0,2,1,4,9,1,5,3,2.0,2,474,120,0,3,12.535376392672774,40,40,9.169518377455928,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
76.42907691966761,8,0.0,3,4,3,1,1,0.0,792.0,2,1,792,725,1517,0.0,1,0,4,7,2,1,1,2.0,2,0,0,0,0,12.345834587905333,71,92,9.344434106456882,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
30.0,8,0.0,4,4,4,3,2,437.0,1494.0,5,1,1494,0,1494,1.0,1,1,5,6,1,5,3,2.0,2,0,30,0,0,12.506177237980511,25,26,9.164191715950203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
60.0,6,0.0,3,3,3,1,5,441.0,948.0,3,1,948,0,948,0.0,1,0,3,5,0,1,1,2.0,0,0,48,0,0,11.736069016284437,69,69,9.301094735244646,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
79.0,8,336.0,4,5,3,4,6,1288.0,1705.0,5,1,1718,0,1718,1.0,2,0,4,7,1,5,2,3.0,2,208,44,0,0,12.601487417784837,13,14,9.272093768251665,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
80.0,6,82.0,3,4,3,4,1,0.0,160.0,2,1,1142,0,1142,0.0,1,0,3,5,1,4,2,1.0,2,0,28,64,0,11.639558115903595,63,63,9.104979856318357,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41.0,5,0.0,3,3,3,1,5,548.0,757.0,5,1,925,550,1475,0.0,2,0,3,6,1,5,2,1.0,2,104,26,0,0,11.751942365440728,44,44,7.887959336599945,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
105.0,6,480.0,3,4,3,1,4,705.0,1844.0,5,1,1844,0,1844,0.0,2,0,3,7,1,5,2,2.0,2,0,122,0,3,12.154779351142624,44,44,9.371693622333941,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80.0,7,320.0,3,3,3,1,5,916.0,1242.0,2,1,1242,0,1242,0.0,1,1,3,6,1,5,1,2.0,2,0,0,0,0,12.075394321888057,48,48,9.169518377455928,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60.0,5,0.0,3,4,4,1,6,420.0,990.0,5,1,990,0,990,1.0,1,0,3,5,0,1,1,1.0,2,256,0,0,0,11.891361900690473,27,27,9.03931477492408,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
75.0,5,0.0,4,3,3,1,4,830.0,1256.0,4,1,1256,0,1256,1.0,1,1,3,6,0,5,3,1.0,2,736,68,0,0,11.901583454762012,56,56,9.204020443231363,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
107.0,10,0.0,5,5,4,4,6,1386.0,2076.0,5,1,2076,0,2076,1.0,2,1,5,7,1,5,3,3.0,2,216,229,0,0,13.049792684569493,15,15,9.53899642739739,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
68.87125151394187,5,104.0,3,4,3,3,6,1097.0,1097.0,5,1,1110,0,1110,1.0,1,0,4,4,1,5,3,2.0,2,303,30,0,0,12.016726473799254,43,43,9.116139576577355,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
81.0,5,335.0,3,3,3,1,1,0.0,1050.0,5,0,1050,745,1795,0.0,2,0,3,7,0,5,1,1.0,2,0,0,0,0,11.786762130599957,67,67,9.405084448768694,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70.0,5,0.0,3,3,3,1,3,906.0,1040.0,5,1,1040,0,1040,1.0,1,0,3,5,0,1,1,1.0,2,0,0,0,0,11.771436160121729,56,56,9.323669057283185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
100.0,8,40.0,3,3,2,1,2,210.0,608.0,3,1,983,890,1873,0.0,1,1,3,9,2,1,3,2.0,2,0,0,207,0,12.45712704000522,71,86,9.17678358844734,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
60.0,5,0.0,3,3,3,1,2,408.0,984.0,5,1,984,620,1604,0.0,2,0,3,6,0,1,1,2.0,2,0,68,0,0,11.669929213779893,61,80,9.30546871706776,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
60.0,7,0.0,3,4,3,1,1,0.0,776.0,3,1,851,651,1502,0.0,1,1,3,6,1,5,2,1.0,1,0,0,112,3,11.911701584927597,21,90,8.881836305004146,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
80.0,5,110.0,3,3,3,1,3,354.0,1056.0,3,1,1063,0,1063,1.0,1,0,3,6,0,5,2,1.0,2,0,0,164,3,11.759785542901755,67,67,9.20230820027892,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36.0,7,106.0,4,4,3,1,1,0.0,764.0,5,1,764,862,1626,0.0,2,1,4,6,0,3,2,2.0,2,0,27,0,0,11.951180395901384,17,18,7.803026643632217,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
42.241128385863284,6,513.0,4,4,3,1,6,353.0,756.0,5,1,768,756,1524,0.0,2,1,4,4,0,1,1,2.0,2,0,32,0,0,12.01974306733868,21,21,8.005700678662542,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
65.0,4,0.0,3,3,3,1,4,622.0,1122.0,3,1,1328,653,1981,1.0,2,0,4,7,2,1,1,2.0,2,431,44,0,3,11.813030057420567,71,93,8.962391701743002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
80.0,7,184.0,3,4,3,1,4,790.0,1392.0,3,1,1392,1392,2784,1.0,3,1,4,12,2,5,2,2.0,2,0,112,0,3,12.429216196844383,43,43,9.722684841711443,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21.0,4,0.0,3,3,3,1,6,176.0,546.0,5,1,546,546,1092,0.0,1,1,3,5,0,0,0,0.0,2,200,26,0,0,11.238488619268468,51,51,7.297091005160418,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
75.0,6,522.0,3,3,3,1,1,0.0,216.0,3,1,1575,0,1575,0.0,1,1,4,5,1,5,1,2.0,2,0,0,0,0,11.951180395901384,70,70,9.227197489042606,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80.0,6,143.0,3,3,3,1,5,371.0,663.0,3,1,663,689,1352,0.0,1,1,3,7,0,5,3,1.0,2,379,36,0,3,11.970350312009105,52,52,9.144627828610801,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
24.0,7,0.0,4,4,3,1,6,368.0,600.0,5,1,600,600,1200,1.0,2,1,4,4,0,1,2,2.0,2,0,172,0,0,11.915051671812877,16,17,7.841492924460013,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
82.0,5,0.0,3,3,3,1,4,486.0,936.0,3,1,936,0,936,0.0,1,0,3,5,0,5,1,1.0,2,0,0,160,3,11.703545824578878,46,67,9.199077179697472,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
68.0,6,0.0,3,3,3,1,3,85.0,1040.0,3,1,1040,0,1040,0.0,1,0,3,6,0,5,3,1.0,2,0,0,0,3,11.820410164718188,68,68,8.979920411691197,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
86.71218957038202,6,0.0,3,4,3,1,3,138.0,916.0,4,1,916,720,1636,0.0,2,1,3,7,1,5,3,2.0,2,168,84,0,0,12.061046873479915,25,25,9.618335609937972,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
92.0,8,348.0,4,4,3,1,6,524.0,1152.0,5,1,1164,1106,2270,0.0,2,1,4,9,1,5,3,3.0,2,132,57,0,0,12.577636201962656,14,22,9.372799299673886,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
75.0,8,0.0,4,4,3,3,6,64.0,1184.0,5,1,1184,1426,2610,0.0,2,1,5,11,1,3,3,2.0,2,208,364,0,0,12.623061104072981,14,14,9.104979856318357,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
99.16783337839077,7,0.0,4,4,3,4,5,1092.0,1420.0,4,1,1483,0,1483,1.0,1,1,3,4,2,5,2,2.0,2,496,0,0,0,12.506177237980511,20,44,9.90658275744343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
81.0,5,0.0,2,3,3,1,3,360.0,936.0,4,0,960,780,1740,0.0,1,0,5,6,1,1,1,1.0,0,0,0,236,0,11.713823407337118,71,101,8.896724917497897,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
70.0,5,0.0,3,3,3,1,3,172.0,1382.0,4,1,1382,0,1382,0.0,1,0,4,6,0,5,1,1.0,2,280,0,0,2,11.938193200374572,66,66,9.07680897935166,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
70.0,5,0.0,3,4,3,1,5,206.0,1120.0,5,1,1120,0,1120,0.0,1,0,3,6,0,0,0,0.0,2,0,30,0,0,11.898187865760873,14,14,9.036225051729327,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
63.0,7,0.0,3,4,3,1,6,246.0,531.0,3,1,567,531,1098,1.0,1,0,3,5,1,1,1,1.0,2,0,0,0,3,11.908340237224891,26,91,8.294049640102028,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
32.0,7,117.0,4,4,3,1,1,0.0,976.0,5,1,976,732,1708,0.0,2,0,4,7,0,1,1,2.0,2,0,40,0,0,11.77528972943772,17,17,8.12058871174027,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
94.0,9,510.0,5,5,3,4,1,0.0,1802.0,5,1,1802,0,1802,0.0,2,1,5,7,1,5,3,3.0,2,158,105,0,0,12.826649133255284,15,15,9.51892740510786,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
43.0,7,145.0,4,4,3,4,6,16.0,1362.0,5,1,1506,0,1506,0.0,2,0,4,6,1,5,3,2.0,2,142,20,0,0,12.27134527214637,16,16,8.0106915391303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
44.0,7,96.0,4,4,3,4,6,1346.0,1508.0,5,1,1508,0,1508,1.0,1,0,4,5,2,5,2,2.0,2,0,0,0,0,12.637952459809789,11,12,9.769098649497476,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
