,rev_id,sent_text,,sentiment
2103,672925921,I went to this hotel again after a few years and they have not kept their standard.,experience,-1
2104,672925921,"The room was so so dirty, the bathroom walls were covered with hair.",room,-1
2105,672925921,The pool water was green.,pool,-1
2106,672925921,We checked out immediately and went to a different hotel.,experience,-1
2107,672921142,enjoyed the laser show.,other,1
2108,672921142,"quite crowded on the promenade, could be a better view from top floor.",other,0
2109,672921142,they have two shoes at 8 and 9 pm .,,0
2110,672921142,Hotel charges tourists a whopping fee per person for a short visit to skydesk.,,0
2111,672921142,then theres the queue.,,0
2112,672921142,it becomes quite an amount for a large family.,,0
2113,672921142,instead a one day stay could be a better deal.,,0
2114,672921142,as one can visit many places nearby and within the hotel at leisure.,,0
2115,672921142,one has to walk a lot in Singapore. must plan for a weeks stay minimum to see few of the attractions and part of the city.,,0
2116,672921142,Thogh the MRT & busses networks excellent one must have  budget for taxis as well.,,0
2117,672921142,research well for food.,food,0
2118,672921142,"very hot during the day so plan activities in morning, keep afternoon for rest and go out in evenings to return",,0
2119,672921142,late,,0
2120,672901822,"We stayed 2 of the 6 nights at MBS to experience the benefits of staying at MBS, that is to swim in THAT pool, like everyone else!",pool,0
2121,672901822,It’s quite a pool & the view is totally impressive.,pool,1
2122,672901822,"However the hotel itself is already dated (still have to pay for movies) plus it is a big hotel, so the expectation of good service comes with apprehension.",service,0
2123,672901822,The TV in our room would freeze occasionally but we could not be bothered getting any help as we felt it would take ages to get someone to come.,room,-1
2124,672901822,"Having said this, we do not have proof.",,0
2125,672901822,Everyone we encountered was pleasant & efficient.,service,1
2126,672901822,We travelled with a child & had to have the family room.,room,0
2127,672901822,It was too big really.,,0
2128,672901822,Our child’s sofa bed was in our room plus there was a separate lounge & dining room.,room,0
2129,672901822,The amenities of having a casino (if it is,,0
2130,672901822,your,,0
2131,672814108,That excellent place where one can visit many times without borrowing.,experience,1
2132,672814108,I have visited two times.,,0
2133,672814108,Beauty of that place is like palace and differ according to day and night.,experience,1
2134,672814108,The environment is very sober for the tourist.,experience,1
2135,672808890,"We stayed here just for one night so  we  could experience the infinity  pool , we knew in advance that is very expensive  for food and drinks so we  just budgeted for it, As for the hotel it is very impressive and we weren't disappointed  at all,  all the staff we interacted with were every friendly and attentive.",service,1
2136,672808890,"We had a garden facing  room which had lovely views , room was Spacious  and clean,   ",room,1
2137,672808890,As for the pool it wasn't as busy as i thought so we had no problems finding sun loungers and room for the selfies!!,pool,1
2138,672808890,", they have bar staff coming round serving snacks and drinks ( yes expensive)  ",food,0
2139,672808890,"but as i said just accept  it and enjoy the experience , definitely recommend  this place !!",experience,1
2140,672757164,We went to Singapore to meet our relatives working in Singapore.,,0
2141,672757164,But whwn we went to swimmingpool to have some drink while swimming & chatting.,pool,0
2142,672757164,We were dismay because our 2 guests/relatives are not allowed to enter the pool,pool,-1
2143,672757164,sllo how we gonna chatt & drink they will be outside while we are inside the pool.,pool,-1
2144,672757164,Its not a friendly place.,service,-1
2145,672757164,,,0
2146,672757164,And when we check out i let the frontdesk to asked their staff to check our room.,service,0
2147,672757164,Theybasked me if we consumed anything from the fridge i told the none.,service,0
2148,672757164,But when we are in our country a day after we left Singapore they emailed me that they will charged me a drink because it was not in their fridge.,room,0
2149,672757164,I told them i will not pay for it coz i asked them before i left Marina.,room,-1
2150,672757164,Then after exchanging emails they said they will waived it out of goodwill.,service,0
2151,672757164,I told,,0
2152,672687866,We are staying in Thailand and decided to fly down to Thailand to celebrate my wife’s 40th Birthday so splashed out on the Marina Bay Sands.,,0
2153,672687866,The hotel is fabulous.,experience,1
2154,672687866,We went for a garden view room as we preferred the view.,room,0
2155,672687866,Spending an afternoon in the infinity pool was something we’ll remember for the rest of our lives.,pool,1
2156,672687866,,,0
2157,672687866,Just amazing.,,1
2158,672661809,Our short stay at Marina Bay Sands was breath taking and very well worthwhile.,experience,1
2159,672661809,"Also want to thank especially Isaac at the check in counter, his service was impeccable and made our stay a memorable one!",service,1
2160,672661809,,,0
2161,672661809,"Staff were very attentive to our requests, rooms were clean, infinity pool was absolutely beautiful.",service,1
2162,672661809,Would definitely be returning and would recommend to anyone.,experience,1
2163,672661809,It’s a must stay when visiting Singapore.,,1
2164,672646513,This is an impressive hotel to look at.,experience,1
2165,672646513,The rooftop pool is impressive.,pool,1
2166,672646513,The room was no better than any other hotel although the view from the room was awesome.,room,1
2167,672646513,"The prices on the 'in-room' dining menu were equally awesome, breakfast for two was over $100.",food,0
2168,672646513,"Dinner at the roof top restaurant was over $400, a G&T $22 each, a bottle of wine that you might pay $15-$18 in Australia will cost you over $AUD125.",food,0
2169,672646513,"The shopping mall mentioned in previous reviews does have the most exclusive brand names in the world however, it is way to expensive to shop there.",other,-1
2170,672646513,I did not see one customer in any of the 'top end' shops.,other,0
2171,672646513,You will need ro get a taxi to and from this hotel on every occasion that yo.u wish to see any of the many sights of Singapore.,,0
2172,672646513,It is too remote to walk anywhere.,,-1
2173,672646513,Good luck if,,0
2174,672620576,I stayed here in November 2018 for 3 nights.,,0
2175,672620576,Is it expensive?,,0
2176,672620576,"Yes without a doubt, BUT it is totally worth it, yes there are many many guests, our experience though was that everyone was treated as special, I have stayed in hundreds of hotels over the years, this one is like a well oiled machine, and by far the best!",experience,1
2177,672609242,I stayed here just a couple of days ago on my visit to Singapore and just wow.,experience,1
2178,672609242,I was given a room upgrade to a higher room with an amazing view.,room,1
2179,672609242,Room Service was amazing and hotel staff is very attentive to your needs.,service,1
2180,672609242,They even got me an HDMI cord so i could connect my computer to the TV.,room,1
2181,672609242,Great Hotel!,experience,1
2182,672609242,Definitely will go back when I return.,experience,1
2183,672452058,"Amazing hotel and amazing service, high class at its finest!",service,1
2184,672452058,"We were able to check in early and was also lucky enough to be upgraded, staff very professional and food was incredible.",food,1
2185,672452058,Only complaint would be the pool it’s packed unless you at early.,pool,-1
2186,672442231,"Unparalleled Shopping Center - Mall, huge, clean, safe, offering all the famous brands, amazing food and coffee - tea places, pleasant for walking and spending all day, nice view of the Marina Bay and Gardens by the Bay, plenty events and happenings and more...",other,1
2187,672393499,Marina bay sands..!!,,0
2188,672393499,42nd floor suite and a breathtaking view  skypool .What a lovely experience.,pool,1
2189,672393499,The breakfast served daily was a lavish buffet every morning.,food,1
2190,672393499,Excellent hospitality and professional staff.,service,1
2191,672393499,The pool on the last floor is the icing on the cake .,pool,1
2192,672393499,The view is extraordinary.,other,1
2193,672393499,The overall property is itself a luxurious stay .,experience,1
2194,672393499,Also the marina bay gardens is a must see.,other,0
2195,672393499,Spacious suites with the best of services offered.,service,1
2196,672393499,As it was a family vacation couldn’t have asked more much of a better experience.,experience,1
2197,672393499,Marina bay is a must visit property when in singapore,experience,1
2198,672366767,"Its my 3rd  ""staycation"" in Marina Bay Sands of 2019.",,0
2199,672366767,The room was standard and basic.,room,0
2200,672366767,Cleanliness of the room was great.,room,1
2201,672366767,The view was very amazing as usual and for this time the room that we got is facing the garden.,other,1
2202,672366767,Gym was good and basic.,other,1
2203,672366767,The Infinity pool is a must for everybody to experience.,pool,1
2204,672365749,We stayed at the Marina Bay Sands after our cruise of Asia.,,0
2205,672365749,,,0
2206,672365749,Staying at this hotel is an amazing experience.,experience,1
2207,672365749,,,0
2208,672365749,The rooms are clean and comfortable.,room,1
2209,672365749,,,0
2210,672365749,The bathroom has very nice complimentary shampoo and lotions.,room,1
2211,672365749,,,0
2212,672365749,The ultimate experience is to spend time in the 'infinity pool' enjoying the view.,pool,1
2213,672365749,,,0
2214,672365749,The observation deck is an opportunity to view the surrounding gardens and enjoy the amazing light show that takes place on the waterfront.,other,1
2215,672365749,,,0
2216,672365749,The Mall that is part of the hotel property is interesting with an abundance of shops & food stalls.,other,1
2217,672306023,"Singapore was our final destination for what I consider a ""Trip of a lifetime"".",,0
2218,672306023,"Spending 7 days in the Maldives I didn't think our trip could be topped , as we arrived late into Singapore (there were 9 of us) we were greeted by Sherman unbelievable experience and he did his upmost to make our final destination the best it could be.",service,1
2219,672306023,If it wasn't for Sherman our experience would have been the same as everyone else who was staying in this fabulous hotel.,service,1
2220,672306023,,,0
2221,672306023,Once again Thanks Sherman for making Marina Bay Sands everything we dreamed of :),service,1
2222,672296164,My husband and 2 kids (7 and 3yrs old) stayed at the incredible Marina Bay Sands for 4 nights as a stop over before going to Maldives.,experience,1
2223,672296164,This hotel is absolutely incredible and very unique.,experience,1
2224,672296164,We had beautiful city views from our room.,room,1
2225,672296164,There is a wide variety of restaurants and in room dinning options.,food,1
2226,672296164,Gardens by the bay is close by as well as a shopping complex with all the top brand shops.,other,1
2227,672296164,The hotel has everything you need plus more.,experience,1
2228,672296164,The service was always above and beyond from the moment you step out of the car to check in and check out.,service,1
2229,672296164,"We were so busy each day with activities it was the perfect place to rest, unwind and recharge that we didn't feel like we needed to go anywhere else.",experience,1
2230,672296164,The infinity pool is absolutely amazing.,pool,1
2231,672296164,Breathtaking views.,,1
2232,672296164,We really didn't want to leave.,experience,1
2233,672296164,The,,0
2234,672239246,Last time I was at this hotel/casino was 5 years ago.,other,0
2235,672239246,I forgot how massive this place is.,,0
2236,672239246,Everything still top notch.,experience,1
2237,672239246,,,0
2238,672239246,You could spend a whole day here and still have more to do.,other,0
2239,672239246,,,0
2240,672239246,The shops and stores and a few meusuems are keep you business.,other,0
2241,672239246,,,0
2242,672239246,"The selection of food is unbelievable, and the night views from the hotel is stunning,and with the water show too.",other,1
2243,672239121,Beautiful hotel and roof top pool was amazing.,pool,1
2244,672239121,Spacious rooms with excellent views of the light show.,room,1
2245,672239121,Was on 36th floor so views were great.,room,1
2246,672239121,Staff very helpful.,service,1
2247,672239121,Many restaurants which were a little expensive but good food.,food,1
2248,672238204,"We celebrated our anniversary in this hotel and we have booked one night while we have another hotel for the rest of the days we have stayed in singapore, anyways the hotel is amazing, room is huge huge, facilities are perfect, cleanses is top.",room,1
2249,672238204,I advise to take city view since you will get amazing view from the big automated curtain of the huge windows in the room.,room,1
2250,672238204,I told my wife we could play football in the room as much as it is big.,room,1
2251,672238204,"If you are in singapore, book one night go to swimming pool and skydeck, you are going to have alot of fun.",experience,1
2252,672238204,And by the way the hotel sent chocolate cake to the room as gift for our anniversary.,service,1
2253,672184867,Most amazing trip and cleanest city and hotel we have ever been in ...,experience,1
2254,672184867,We started with a 10 day cruise from HongKong to Singapore and in the end it cost more for 5 days at Marina Bay than the rest of the trip combined ...,,0
2255,672184867,IT WAS WORTH EVERY PENNY !!!,,1
2256,672163232,"A must see, but don’t stay there.",,0
2257,672163232," Other fabulous hotels in Singapore, and the Sands is like  ",,0
2258,672163232,An amusement park.,,0
2259,672163232,So crowded with families with children and the pool is a ZOO.,pool,-1
2260,672163232,,,0
2261,672163232,"Worth it to eat at Spago and the gardens are fantastic, but stay elsewhere",food,1
2262,672156206,It's a world by itself..,,0
2263,672156206,"Not a hotel property,but a self-contained tourist paradise... thousands of staff working like a Rolls Royce.. would like to visit this place again...",experience,1
2264,672156206,Singapore is lucky to own this amazing place..thank you,experience,1
2265,672125681,You really are amazed in person.,experience,1
2266,672125681,Day and night give you a different experience.,experience,0
2267,672125681,Worth the stay and visit.,experience,1
2268,672125681,,,0
2269,672125681,A must see of this iconic resort.,other,1
2270,672125681,Real life meet the movie.,,
2271,672125681,High end all the way.,,1
2272,672125681,Not only is the resort beautiful it has everything you need at your fingertips.,experience,1
2273,672125681,Friendly and helpful.,service,1
2274,672125681,Clean and safe to boot.,,1
2275,672118224,Stayed for 3 nights for my 50th Birthday-absolutely amazing room on the 31st floor looking over gardens by the bay.,room,1
2276,672118224,Beautiful room with great facilities.,room,1
2277,672118224,Can't fault anything.,,1
2278,672118224,Special extras for my birthday made it extra special.,service,1
2279,672118224,Every staff member we came across were great and went out of their way to help.,service,1
2280,672118224,The infinity pool was amazing and not overcrowded.,pool,1
2281,672118224,Ate at Spargo on the top floor which was awesome.,food,1
2282,672118224,Would definitely stay again,experience,1
2283,672032803,"We paid for an orchid suite room which was amazing in the 43rd floor and we could see the whole marina bay, the Singapore flyer and part of gardens by the bay !!",room,1
2284,672032803,Thankyou Julie our checkin person who gave us such an awesome experience !,service,1
2285,672032803,We lived or room,,0
2286,672032803,and if you like a firm bed you will love the bed !,room,1
2287,672032803,I would like a pillow menu next time ad the pillow was not to my taste !,room,-1
2288,672026055,I have stayed at the Marina Bay twice before but this time was exceptional.,experience,1
2289,672026055,It was my husbands 60th,,0
2290,672026055,and we were there with a party of 9 people including family and friends of ages between 25 & 60.,,0
2291,672026055,Most of the group would not have stayed here before or even visited Singapore.,,0
2292,672026055,We had a fantastic experience thanks to Sherman who made our stay and my husbands 60th just perfect.,service,1
2293,672026055,Thank you Sherman it opened my eyes yet again just how special Singapore is and confirmed that Marina Bay is the best place to stay.,service,1
2294,672026055,Highly recommend.,,1
2295,672026055,Date stayed was the 22 & 23fd of April 2019.,,0
2296,671952991,Booked a club room for 3 nights.,room,0
2297,671952991,Stayed on 49th floor room 59 facing the ocean and overlooking the gardens.,room,0
2298,671952991,The room was great the views incredible.,room,1
2299,671952991,In club you get access to club 55 which has a free bar and canapés between 5-7 pm.,food,1
2300,671952991,As guests we had free access to the rooftop swimming and dining area.,pool,0
2301,671952991,This was superb and open till 11pm.,pool,1
2302,671952991,I recommend the night swimming.,pool,1
2303,671952991,I could go on and on brilliant.,experience,1
2304,671952991,Breakfast was in club 55 and was fantastic.,food,1
2305,671952991,Top tip - go club!,other,0
2306,671946149,"This was the second of three hotels we stayed at for our holiday in Singapore, and we chose it mainly so we could access the rooftop pool.",pool,0
2307,671946149,"The infinity pool was amazing, with incredible views, and we enjoyed lots of time up there, including free access to the SkyPark viewing deck.",pool,1
2308,671946149,"However, the rest of the stay there proved just as good.",experience,1
2309,671946149,"It is worth saying though, the hotel complex is absolutely huge and very busy, so may not be everyone's cup of tea.",experience,0
2310,671946149,,,0
2311,671946149,"Our stay started well, as check-in was incredibly smooth and helpful.",service,1
2312,671946149,"We checked our suitcase in, as we thought as it was 12pm, our room wouldn't be ready.",service,0
2313,671946149,"There was no need to do this, as our room was ready to check in to - fantastic!",service,1
2314,671946149,"We stayed on the 23rd floor, with garden views.",room,0
2315,671946149,"The room was huge, with a balcony, and large",room,1
2316,671945474,This hotel is massive!,experience,0
2317,671945474,,,0
2318,671945474,Over 2000 rooms spread over 3 towers.,room,0
2319,671945474,"People in the ""lobby"" constantly on the move.",,0
2320,671945474,"15 -30 minutes wait to check in, or check out!",service,0
2321,671945474,"Can be chaotic, despite the best efforts of the very helpful staff.",service,0
2322,671945474,,,0
2323,671945474,Ignore all this (you can't change it) and treat each tower as 1 hotel.,,0
2324,671945474,Room 2403 in Tower 3 facing the city is brilliant.,room,1
2325,671945474,Security lifts that only work with your room key card.,other,1
2326,671945474,"2 extra large single beds, massive shower, immaculate house keeping, mini bar, iron, automatic curtains, large tv, air con,  even a phone in the loo!",room,1
2327,671945474,Step outside and be overawed with the building.,experience,0
2328,671945474,"Masterpiece of design, roof top terrace and infinity swimming pool.",pool,1
2329,671945474,"Ok, it's not cheap.",,0
2330,671945474,Quality never is.,,0
2331,671945474,Stayed 3 nights and enjoyed our stay tremendously.,experience,1
2332,671945474,Add on large shopping mall and,,0
2333,671903430,"This was easily the best hotel I have every stayed in, this is the standard of customer care every hotel should have.",service,1
2334,671903430,"On arrival we were taken out of the long check-in queue to the VIP check-in, this may have accounted for the stunning room on the 32nd floor.",service,1
2335,671903430,Our luggage was stored then later taken to our room.,service,0
2336,671903430,"Our room wasn’t ready but we were given a pass to use the hotel facilities, and after we checked out were invited to shower in the gym before flying back to the UK.",service,1
2337,671903430,A note in the room to introduce our housekeeper and assure us that if anything was not in order then to let her know.,service,1
2338,671903430,"And in any case, it’s a stunning building both in design and materials.",experience,1
2339,671809835,It was the last destination we visited on our holiday and it was definitely one of the highlights!,experience,1
2340,671809835,Sherman greeted us at the reception and made us feel very welcome and gave us some great recommendation of what to do in Singapore.,service,1
2341,671809835,"We were celebrating a 60th Birthday celebration and Sherman kindly organised an upgrade, all 9 of us were very grateful and felt very fortunate.",service,1
2342,671809835,We will be back MBS!,experience,1
2343,671809835,Thank you for such a memorable experience.,experience,1
2344,671796592,"This is an example of how a large hotel should work, it was perfect from check in to check out.",service,1
2345,671796592,"The facilities are very good, the room very nice, the breakfast fantastic and of course the pool is incredible.",pool,1
2346,671796592,"It has a large shopping center connected, with connection to the metro just next to everything.",other,1
2347,671796592,Repeated?,,0
2348,671796592,no doubt yes.,,0
2349,671772689,I visited the Marina Bay Sands hotel and visited the Sky Bar to see the views of Singapore.,,0
2350,671772689,"Top tip, if you pay to go to the observation floor you have to buy tickets and there are no benefits on that floor apart from amazing view.",other,0
2351,671772689,"If you buy tickets for the Sky Bar which is in the 57th floor they give you vouchers to the same value as your tickets which you can spend at the bar, so in reality the view costs you nothing.",food,0
2352,671772689,Food and drink are available and the views are incredible.,food,1
2353,671759225,I didn't stay at the hotel but walked through the Lobby as I needed to visit the Skypark.,other,0
2354,671759225,"The hotel is very busy as there are various activities around like the skypark, Garden by the Bay, shoppe at Marina.",,0
2355,671759225,All activities are all very well connected.,other,1
2356,671759225,,,0
2357,671759225,It's a very beautiful hotel with spectacular views of of the ocean and city.,experience,1
2358,671596137,"Very well connected to metro, adjoining Gardens by the bay; Has world class Casino, hospitality at its best... perfect with family, kids, infants too.",other,1
2359,671596137,Nice food too.,food,1
2360,671596137,Its a must visit for everyone visitin’ Singapore!!,,1
2361,671541961,Stayed at this hotel for one night as a luxurious night at a famous hotel.,experience,0
2362,671541961,You really get what you pay for at this hotel.,,0
2363,671541961,Our room was always clean and had a more luxurious design approach.,room,1
2364,671541961,"Great views, clean room, great bathroom and comfy beds.",room,1
2365,671541961,The pool definitely is amazing with stunning views to the lion city.,pool,1
2366,671541961,"The staff was friendly, but you really get treated as a tourist or as a wealthy person which some guests might be used to or like.",service,1
2367,671541961,"We didn't have any breakfast at this hotel, it is way to expensive!",food,0
2368,671541961,"From a luxury hotel like this, it would really be nice if the breakfast was included or even maybe a special deal for hotel guests.",food,0
2369,671541961,Food and drinks in general are on the more expensive side.,food,0
2370,671541961,The location of this hotel is a tiny bit far away from the traditional and central,,0
2371,671510139,Had an amazing time here!,experience,1
2372,671510139,We wanted to come and stay here for so long,,0
2373,671510139,and we're so glad we finally did.,experience,1
2374,671510139,"Believe the hype, it is a spectacular hotel.",experience,1
2375,671510139,"There is a casino attached, the mall, and the public transport train is there too.",other,1
2376,671510139,"Very central, and every staff there from check-in, bell boys, random staff all the way to check out have been extremely kind and helpful.",service,1
2377,671510139,"The pool obviously is a must see, it is a very busy hotel, and you can easily get lost but it's amazing.",pool,1
2378,671510139,I can't wait to come back again!,,0
2379,671488599,Yes it is not cheap but the service food and pool with great views is outstanding When we arrived 8pm got our room and went straight up to the pool you can have just a light snack or meal and drinks Our room was great with great views Breaksfast was first class at the rise would highly recomend staying here Staff are very helpfull,service,1
2380,671272803,Stayed at the MBS Hotel for 1 night with my Wife and my 19 year old daughter who was visiting.,experience,0
2381,671272803,We booked in mainly to have access to the Swimming Pool on the 57th Level.,pool,0
2382,671272803,,,0
2383,671272803,There are Pro's and Cons as always.,,0
2384,671272803,We really enjoyed our stay.,experience,1
2385,671272803,The checkin was really easy and the staff are extremely nice at the front desk.,service,1
2386,671272803,"The serve refreshments and ice cream while waiting, which wasn't very long.",food,1
2387,671272803,We stayed in the Family 1 bedroom and I can say the room itself was very nice and very spacious.,room,1
2388,671272803,The pull out couch which was located in the outer living room was not comfortable.,room,-1
2389,671272803,Suitable for a 6 year old,,0
2390,671272803,maybe but not a larger teenager or adult.,,0
2391,671272803,Very lumpy like most pull out couches so don't expect anything better.,room,-1
2392,671272803,Our biggest grip was the location of the room.,room,-1
2393,671272803,We were on the 4th floor and,room,0
2394,671267763,It looks spectacular and it is.,,1
2395,671267763,"It costs SGD22 ph to go to the 57th floor, however this comes off you drinks 🍸, which expensive, however it is the experience.",,0
2396,671267763,"Looking over Singapore city, the harbour and it’s attractions .",,0
2397,671267763,"We also visited in a tour , but that was only to the 56th floor .",,0
2398,671267763,The queues at night are enormous.,,0
2399,671267763,Yet another Singapore ‘must visit ‘ venue/attraction.,,0
2400,671267763,"We considered staying at MBS , glad we didn’t, apart from being expensive, the queues at checkin/ checkout were enormous.",service,-1
2401,671113092,Stayed here for 5 nights in a Club room with an amazing view of the marina.,other,1
2402,671113092,This hotel is very busy so do not expect relaxation.,experience,-1
2403,671113092,,,0
2404,671113092,Check,,0
2405,671113092,In – Check in was a little slow but the staff were coming around with drinks to keep everyone refreshed in the queue.,service,-1
2406,671113092,We arrived early and the room we were told would not be ready for another hour.,service,0
2407,671113092,They gave us guest keys in the meantime and advised we could go up and check out the pool or go for afternoon tea in the Club lounge while we waited.,service,0
2408,671113092,Room – Great view in our room of the marina which is what we had requested and did not disappoint.,room,1
2409,671113092,Great view for the light show that happens every evening 8pm.,other,1
2410,671113092,9pm and 10pm.,,0
2411,671113092,Pool – Went to the pool for literally half hour was not impressed at all.,pool,-1
2412,671113092,The water was cold and the pool was full of people,pool,-1
