sent_id,rev_id,sent_text,category,sentiment
95,689213452,I look forward to my next visit here.,none,0.0
96,689212635,"Had a great birthday buffet here thanks to Lalikumar, Albert and Jennie.",food,1.0
97,689212635,They were so lovely and attentive and made the experience really stand out.,none,1.0
98,689212635,I have been to many buffets and birthday dinners but,food,0.0
99,689212635,this one is the most special and it's all because of the exceptional service.,service,1.0
100,689212635,"Special thanks to Lalikumar, who dropped by to make sure everything was going well and made us feel completely at home with his friendliness.",none,1.0
101,689212635,I'll definitely visit again.,none,1.0
102,689212534,Really really good service!,service,1.0
103,689212534,"I celebrated my friend's birthday here, and the staff were attentive and friendly.",service,1.0
104,689212534,"Lalikumar in particular was very caring, often checking up on us while we were dining.",service,1.0
105,689212534,"The food was very good too, although the savoury food could use a bit of improvement.",food,1.0
106,689212534,"However, the desserts were excellent, and that is the most important part imo.",none,1.0
107,689212534,tldr: I definitely recommend this buffet!,food,1.0
108,689210689,The buffet dinner was amazing!,food,1.0
109,689210689,"i would recommend trying the local delicacies such as the char siew, roasted pork, roasted chicken, etc.",none,1.0
110,689210689,they are well-known signature dishes of the fullerton hotel :)   service was excellent too!,service,1.0
111,689210689,"Steve and his team ( sally , Lucia, Chloe,Jia Hui) the were very friendly, constantly smiling, and take care of us so well, making the experience much more enjoyable.",service,1.0
112,689204128,A must do in Singapore !!!!,none,0.0
113,689204128,Went for a birthday dinner and it was amazing.,food,1.0
114,689204128,"The staff were lovely and a big thank you to Irman, Laii Kumar, Albert and Jenny for their wonderful service.",service,1.0
116,689204128,Highly recommend the risotto balls,none,1.0
117,689197377,"Amazing service, great quality, fast replenishment.",service,1.0
118,689197377,Me and my family adore it and would love to visit again My family and i would love to thank - Irman - Lalikumar - Albert - Jenny Thank you for serving us so well!,none,1.0
119,689196052,Amazing chocolate buffet for my 21st birthday!,food,1.0
120,689196052,Had a very nice time with my family and would definitely come again.,none,1.0
121,689196052,A large variety of food and the staff took wonderful care of us.,food,1.0
122,689196052,"  Served by Lali Kumar, Irman and Albert :-)",none,1.0
123,689158704,The afternoon high tea is the one of the best and natural choice when deciding a venue to celebrate my ex-colleague birthday cum retirement.,food,1.0
124,689158704,"There was an added  segment of live music performed by a gorgeous lady playing the harp, which enhanced the ambience of the high tea experience.",none,1.0
126,689158704,"Great service from the team of Sherlyn, Jilian, Leilani’s and Albert for making this occasion memorable for my ex-colleague with a birthday cake and photo for each of us enclosed in a postcard.",service,1.0
128,689158704,"Overall, we enjoyed the afternoon.",none,1.0
129,689158704,It would be nice if the high tea on weekday can be scheduled from 2 to 5pm instead of 3 to 6pm to avoid the after work heavy traffic.,none,1.0
130,689137254,Had a wonderful afternoon tea moment.,food,1.0
131,689137254,A good varieties of savoury and sweets.,food,1.0
132,689137254,A huge selection of cold/hot beverages.,none,1.0
133,689137254,Really love their Fullerton house blend coffee and peach iced tea.,food,1.0
134,689137254,Service was excellent.,service,1.0
135,689137254,"Very pleased to be served by cheerful and attentive Camilla, Lalikumar & Esther.",none,1.0
136,689137254,They even gave my friend a surprised b'day cake and sang a happy b'day song plus a photo for keepsake.,none,1.0
137,689137254, Strongly recommend anyone to come here to experience it for yourself.,none,1.0
138,689129366,"It was an ordinary visit, but",none,0.0
139,689129366,the service was prompt and excellent!,service,1.0
140,689129366,"Thank you Camilla, Lali Kunat and Alson for your friendly service and Esther for bringing our drinks!",service,1.0
141,689129366,The Ondeh Ondeh macron was sweet but,none,1.0
143,689129366,"overindulgent, while the fruit cakes and most of the savory treats were exquisite!",none,0.0
144,689129366,A wide array of teas and coffee and available for your selection.,food,
145,689124862,"Very nice ambiance, nice food and very good tea..",food,1.0
146,689124862,The selection of food is not bad.,food,1.0
148,689124862,"The staff are friendly are very helpful!, especially Esther and Lalikumar.",service,1.0
149,689124862,Will come back again if given another chance,none,1.0
150,688954578,Perfect place and perfect view of Marina Bay Sands.,none,1.0
151,688954578,Two times lightshow every weekdays.,none,0.0
152,688954578,Raffy and Giri are very helpful.,service,1.0
153,688954578,Fantastic service of Raffy.,service,1.0
154,688954578,Makes feel us very memorable experience in Singapore.,none,0.0
155,688954578,Probably will come back again to this place.,none,0.0
156,688944944,Great food and great service!,service,1.0
157,688944944,Favourite Chinese restaurant!,food,0.0
160,688944944,I often dine here for corporate lunches and dinners.,food,0.0
161,688944944,"Staff are always courteous, prompt, efficient and professional.",service,1.0
162,688944944,Awesome dining experience.,none,1.0
163,688899435,Was led to our table by Dinara whom explained to us the happy hour deals.,none,1.0
164,688899435,We chose beers to start with and served by Indran and Josephine.,none,0.0
165,688899435,They were always so smiley.,none,1.0
166,688899435,Service was tip top by all the service staffs.,service,1.0
167,688899435,"Manager Irman came over and talked to us, explaining the history of Postbar and the hotel.",none,0.0
168,688899435,Cocktails made by Aron was great.,food,1.0
169,688899435,Stella always served with her beautiful smile.,none,1.0
170,688899435,Overall experience was good and will not hesitate to recommend to friends.,none,1.0
171,688874625,Had a lovely afternoon tea here with free flow dessert and tea.,food,1.0
172,688874625,Our waiter Lalikumar is very friendly and offered exceptional service.,service,1.0
173,688874625,Good live music too which makes it a heightened experience.,none,1.0
175,688874506,One of the most enjoyable high tea experience in Singapore!,none,1.0
176,688874506,The snacks are a must-try!,none,0.0
177,688874506,One of the best savory is crispy cup with chicken!,none,1.0
178,688874506,  Talk to Lalikumar,none,0.0
179,688874506,and he will give you the best customer experience :),none,1.0
180,688866134,"Enjoyed a lovely afternoon of good music, ambience and great service!",service,1.0
181,688866134,"Cosy atmosphere for a birthday celebration (Glad we made the choice!) and felt truly at home with the great service by the team - Josephine, Lalikumar, Albert and Lailaine.",service,1.0
182,688866134,Will be back for more goodness!,none,1.0
183,688862786,"We had a fabulous afternoon tea with superb fi9d & service fr Josephine , Lali Kumar & Albert!",service,1.0
184,688862786,The Harpist was a highlight!,none,1.0
185,688862786,"Plenty of food & drinks and ambience was pleasant in a wonderful setting - great value,  time well spent!",food,1.0
186,688860957,Incredible views towards Marina Bay Sands and wonderful service (particularly from Giri).,none,1.0
187,688860957,"A bit pricey, but",none,0.0
188,688860957,worth it given the location.,none,1.0
189,688860957,"Definitely worth a visit for a special occasion (a birthday, in my case).",none,1.0
191,688838671,We truly enjoyed our stay at the hotel.,none,1.0
192,688838671,Staff were all very friendly and welcoming.,service,1.0
193,688838671,We stayed at the Esplanade room for 4 nights.,room,0.0
194,688838671,"The room was elegant, bright and spacious.",room,1.0
195,688838671,Plenty to accommodate 4 of us.,none,0.0
196,688838671,  Straits Clb was amazing.,none,1.0
198,688838671,"We were welcomed by Siti at check-in and our girls went to the room with hands full of puzzles, colouring books and pens and ice cream passes so that they can enjoy an ice cream everyday during their stay.",service,1.0
199,688838671,What else can one ask to cheer up kids?   ,none,1.0
200,688838671,"And Paolo had gone out of his way to look after us, especially our two girls.",none,0.0
201,688838671,We could not have thanked him enough.,none,-1.0
203,688838671,The housekeeping team had been more than amazing.,none,1.0
204,688838671,Our room was made to perfection.,room,1.0
205,688838671,There were pleasant surprises for our kids almost everyday when the housekeepers made up our,none,1.0
206,688824485,We recently held a meeting event and hosted some overseas guests in Fullerton Hotel.,none,0.0
207,688824485,"The service for both event and room accommodation was excellent, from booking the venue to menu selection to guest stays, it has been very well taken care of!",service,1.0
208,688824485,Mr Boon from front office was very warm but,none,1.0
209,688824485,"not intrusive, and was very helpful to us (as an event organiser) to take good care of our guests.",service,1.0
210,688824485,"If you want to hold events and guests, look no further, Fullerton Hotel is your best choice!",none,1.0
211,688756083,"Check in experience was good, fast and efficient however we had some issues with the first room but",service,1.0
212,688756083,the manager Kate Reyes came to see us and change our room to more comfortable and a beautiful river view.,room,1.0
213,688756083,She pay attention to our concern and ensure that we will enjoy our stay which we did.,none,1.0
214,688756083,She really know how to make sure the guests are happy.,none,1.0
215,688756083,The room is clean and well maintained.,room,1.0
216,688756083,Same goes to their facilities.,none,0.0
217,688756083,We love the pool and the uncle that serve drinks.,pool,1.0
218,688756083,All the staffs here work with pride and deliver service with a heart.,service,1.0
219,688756083,Fullerton Hotel indeed a five star hotel.,none,0.0
220,688756083,We will highly recommend to all my friends.,none,1.0
221,688756083,Thank you it was a great and lovely stay.,none,1.0
222,688692162,It was a busy night but,none,0.0
223,688692162,the staff in Lighthouse were very attentive.,service,0.0
225,688692162,"Namely, Raffy, Giri, Ian, Rey Zaldivar.",none,0.0
226,688692162,They had that spectacular service.,service,0.0
227,688692162,The lighthouse Rooftop Bar was has that tantalizing view of Marina Bay.,other,0.0
228,688692162,During weekdays 2 times lightshow at 8pm and 9pm.,none,0.0
229,688692162,Probably will come back again.,none,0.0
230,688692162,Thanks once again for the good service.,service,1.0
231,688647526,Without doubt one of the most wonderful experiences I’ve had at a hotel.  ,none,1.0
232,688647526,It is hard to describe how special this place is from its old world charm through to the incredible sweeping view of Singapore from the roof top bar.,food,1.0
233,688647526,Take advantage of being able to use the pool at Fullerton by the Bay which has extraordinary views.,pool,1.0
234,688647526,"The staff were amazing, nothing too much effort and big shout out to Paolo (in the Straights Club) who couldn’t have been more helpful and attentive.",service,1.0
235,688647526,I miss this place already.,none,-1.0
236,688647526,I give it 11 out of 10.,none,0.0
237,688510351,This is a great and charming place to stay while in Singapore for business or pleasure.,none,1.0
238,688510351,"Rooms, dining and service are excellent and the nearby walking environment is both beautiful and full of restaurants.",service,1.0
239,688510351,Much better spot than Orchard Road hotels.,none,1.0
240,688429532,My most ordered drink.,food,0.0
241,688429532,Aron suggested The Botanist.,none,0.0
242,688429532,Again one of my favorite gins.,none,1.0
243,688429532,I asked him to make it the way he thought best.,none,1.0
244,688429532,A truly excellent martini possibly one of the best I’ve had -grapefruit twist.,none,1.0
246,688429532,I truly recommend the Post at the Fullerton if you are looking for the pinnacle of Martinis.,none,1.0
247,688429532,Again if you see Aron ask him to make one the way he thinks fit.,none,1.0
248,688429532,Well done mate,none,1.0
249,688418072,"I stayed in a Heritage Club room, which was more of a suite with expansive main sleeping area, lounge and corridor.",room,0.0
250,688418072,The bath was meticulous and featured upscale toiletries.,none,0.0
251,688418072,"Included in Club service was a spa treatment, afternoon tea and evening canapés, as well as a generous full breakfast.",food,1.0
252,688418072,Even the eggs have their own menu!  ,none,0.0
253,688418072,The infinity swimming pool was more than just a place to take a cooling dip.,pool,0.0
254,688418072,"Sal, a special staff member, takes care of your every need.",service,1.0
255,688418072,"So for me, it was more than the pampering luxury, it was the staff who made this a great experience - from Daniel in Club, to Anais in the dining room.",service,1.0
256,688418072,Excellent three day stay!,none,1.0
257,688410527,The place is lovely with a great view!,none,1.0
258,688410527,The food is honestly delicious and surprisingly reasonably priced.,food,1.0
259,688410527,"Highly recommended!the service was excellent with many good recommendations by Khalid, one of the supervisors!",service,1.0
260,688367576,"What an awesome hotel, steeped in Old World Charm and 5 Star service.",service,1.0
262,688367576,Everything from checking to departing is effortless.,service,0.0
264,688367576,The Staff alike are friendly and professional.,service,1.0
266,688367576,Great ordering rooms service and watching the light show on the Marina Bay from your bedroom.,room,1.0
268,688367576,An excellent choice of a hotel for the discerning guest.,none,1.0
269,688347280,Where do I start?,none,0.0
270,688347280,"After a very long day, delayed flight, delayed luggage and unusual Singapore traffic my mother",none,-1.0
271,688347280,"and I arrived at the ""5 star"" hotel I had booked us into.",none,0.0
272,688347280,"Well, in less than an hour we had left due to a very negative experience and headed in a taxi to The Fullerton where we had booked in for Sunday brunch the following day.",none,-1.0
274,688347280,From the second we arrived we were so well taken care of it's difficult to put into words.,service,1.0
275,688347280,"We were obviously distressed and the staff member at the front desk, Kate Reyes could not have been kinder or more accommodating.",service,-1.0
276,688347280,"She invited us to sit down while we made our booking, gave us water and personally took us up to our Quay view room which was simply magical.",room,0.0
278,688347280,Throughout our stay we did not encounter a single staff member that was difficult,service,-1.0
279,688040397,Very cosy and friendly.,service,1.0
280,688040397,Amazing people here🥰,none,1.0
281,688040397,"Thank you Irman, Aron, Dinara and Indran!",none,1.0
282,688040397,See you again soon.,none,0.0
283,688040397,"Минусов нет,хорошая музыка отзывчивый персонал , отличная кухня , хорошая обстановка , посидели порадовались:)",none,0.0
284,688039302,"Great service, delicious food and what a venue!",food,1.0
285,688039302,Very helpful staff tried to make our three year old as happy as possible.,service,1.0
287,688039302,"Amazing tea and food, and as much as you could eat.",food,1.0
288,688039302,Special attention for those having a birthday.,none,1.0
289,688026886,"Had wonderfull stay at Fullerton The straight club, We are from room 460 stay at July, 6-8.",room,1.0
290,688026886,"Thank you to all the staff, they served and greet us very good, especially to staff Mr.Paolo who give me late check out until 2pm",service,1.0
291,688026886,"And also we very like afternoon tea and coctail at the club, really enjoy tea, drink and some delicious snack.",food,1.0
292,688026886,"We enjoyed delicious dinner at The Lighthouse Restaurant at 8 floor, this restaurant have amazing view, we recommeded for time at 8pm or 9pm, because we can see light show from marina sand bay.",food,1.0
294,688026886,"The Historical Building of Fullerton is Great, there are full and complete information about history of Fullerton.",none,1.0
295,688026886,"Near by hotel, there are so many good attractions, near from Merlion, museum and some good sight seeing Thankyou very much for gave",none,1.0
296,688009038,Had an afternoon tea for my friend’s birthday.,food,0.0
297,688009038,Food was good.,food,1.0
298,688009038,Service was excellent.,service,1.0
299,688009038,The birthday cake with printed photos as souvenir was a wonderful surprise.,none,1.0
300,688009038,"  Thumbs up to Lalikumar, Camilla and Aldin, thank you so much for the excellent service.",service,1.0
301,688009038,Will be back again.,none,0.0
302,687981530,Just had the most amazing lunch at Jade Restaurant.,food,1.0
303,687981530,Really enjoyed the recommendation by the staff.,service,1.0
304,687981530,The wagyu beef tasted so fresh and the dessert was the highlight of the meal.,none,1.0
305,687981530,Thumbs up to Alan and his team for their excellent service.,service,1.0
306,687966193,"Just spent three beautiful days at the Fullerton Singapore, the best hotel experience in years and thoroughly recommend this hotel as a luxury experience.",none,1.0
307,687966193,Raji the concierge was exceptional with his helpful advice and we consequently had the best food ever.,food,1.0
308,687966193,We will return.,none,0.0
309,687826949,The chocolate buffet was something I had always want to try the chocolate buffet at Fullerton Hotel’s Courtyard.,food,
310,687826949,"So, we went, as a belated Father’s Day celebration.",none,0.0
311,687826949,"  Now, the buffet starts at 8pm and may not take place of a dinner.",food,0.0
312,687826949,And it was too early as a supper.,none,0.0
313,687826949,And it’s mostly desserts.,none,0.0
314,687826949,But I was eyeing the savory items to fill the void as I had skipped dinner.,food,0.0
315,687826949,"The buffet offers four savory items, three of which I can recommend: the baby back ribs, salmon quiche, and Wagyu empanada.",food,1.0
316,687826949,I would skip the risotto balls though.,none,0.0
317,687826949,"  Now, there were too many chocolate dessert items to list and I’ll let my photos speak for themselves.",none,0.0
318,687826949,"What I would recommend is the hot chocolate (milk or dark) drink highlighted with your choice of spices like cardamom, star anise, or clove, made to",food,1.0
319,687774421,"Beautiful food, delightful and, attentive staff.",service,1.0
320,687774421,Innovative food and decorative presentation.,food,1.0
322,687774421,Highly recommend it.,none,1.0
323,687774421,Chef leongs attention to detail is exquisite.,none,0.0
324,687774421,Yee Mings attention to our dining needs was impeccable.,none,0.0
325,687774421,Yvonne was a a wonderful host and waited on our every need.,none,1.0
326,687774421,Evelyn was a delight.,none,1.0
327,687774421,I highly recommend the Jade Restaurant at the Fullerton Hotel in Singapore.,food,1.0
328,687753102,We visited Town restaurant to celebrate my birthday.,food,1.0
329,687753102,Had dinner buffet and we enjoyed it very much!,food,1.0
330,687753102,Had received lovely birthday surprises from their staffs.,service,1.0
331,687753102,"(Big thanks to May, WL, Lucia, LiLian, Steve, KC, Ramil)",none,1.0
332,687741978,Been coming to the Fullerton Hotel Singapore quite regularly.,none,0.0
333,687741978,The food quality is good but,food,1.0
334,687741978,what's best is the service.,service,1.0
336,687741978,Special mention to Lailanie.,none,1.0
337,687741978,She is a truly asset to the hotel.,none,1.0
338,687741978,Would definitely come back!,none,1.0
340,687741077,"Great service by their staff namely Cheryl, May, Steve, Lilian and many more.",service,1.0
341,687741077,It was my daughter's 4th birthday and its the 4th year we are celebrating here!,none,1.0
342,687741077,The restaurant provided a complementary slice of birthday cake and family photo as well .,food,1.0
343,687741077,A wonderful place to have a birthday celebration here!,none,1.0
344,687708802,"The staff were really good and sincere... we would like to specially thank Alson, Lakumar, Camilla and Albert in tending to our needs - from assisting in finding seats (we came without reservation) to introducing the various tea selections.",service,1.0
345,687708802,The quality of food and drinks are also worth the costs... especially when they are free flow...,food,1.0
346,687706380,"Beautiful Devine delicious food, stunning atmosphere, amazing attentive friendly service from Lalikuma and Lai.",service,1.0
347,687706380,The Fullerton Hotel Afternoon Tea for any visitor to Singapore is a worth while experience.,food,1.0
348,687702911,Came here on a weekday ;   Wasn’t too crowded and also had reserved in advance.,none,0.0
350,687702911,"I personally really enjoyed the savouries, especially the salmon on bread, guacamole tarts and prawn canapés.",none,1.0
351,687702911,  The scones were fabulous with cream and jam.,none,1.0
352,687702911,Loved the relaxing atmosphere and Harpist playing music.,none,1.0
354,687702911,There was great attentive service!,service,1.0
355,687702911,Friendly staff also spent time chatting and explaining each item on the menu.,service,1.0
356,687702911,"Thanks to Lalikumar, Alson, Camilla and others. will come back again soon!",none,1.0
358,687702676,The ambience is very nice and cozy.,none,1.0
359,687702676,"Team crew members Lalikumar, Alson, Albert, Camilla and Geraldine are all very professional and friendly.",service,1.0
360,687702676,They are very attentive to customers.,none,0.0
361,687702676,The coffee is aromatic and smooth.,none,0.0
362,687702676,One of the best high tea we went before.,food,1.0
363,687690126,"Came to Fullerton Hotel to celebrate my mum’s birthday and Lalikumar, Camilla and Lai really made my mum’s day by surprising her a with a birthday cake and photo card.",none,1.0
364,687690126,"The high tea was delicious and ambience was great too, with soothing live harp performance!",food,1.0
365,687690126,Great attentive service and will definitely be back!,service,1.0
366,687689650,What more can I ask for - everything is perfect.i organised a HI TEA for my wife's birthday at Fullerton.,food,0.0
367,687689650,"We got a surprised birthday cake + candle, live music from the harp playing b-day song, photo memorabilia, good recommendations for the tea.",food,1.0
368,687689650,The environment is pleasant and I liked all live songs coupled with great service.,service,1.0
369,687689650,Special thanks to Lalikumar (b-day surprise) and Albert (table service).,service,1.0
370,687688727,Was honeymooning in Singapore and having previously visited the Fullerton for high tea with a friend was very keen to visit again.,none,1.0
371,687688727,Hotel itself is stunning and the high tea is a lovely treat but,none,1.0
372,687688727,what sets it apart is the service.,service,0.0
373,687688727,Most service in Singapore is very good but,service,1.0
376,687688727,apologies about the spelling) is a cut above.,none,-1.0
377,687688727,"So happy, friendly and a pleasure to speak to she is a credit to the hotel.",service,1.0
378,687688727,Even supplied a complimentary cake and teddy bears once she knew it was our honeymoon.,none,1.0
379,687688727,Little touches mean a lot .A must do in Singapore,none,0.0
380,687686349,Wonderful service by Lalikumar and Camilla at the beautiful Fullerton Hotel for a great afternoon tea.,service,1.0
381,687686349,Tea recommendations were superb and the food was delicious.,food,1.0
382,687686349,The harpist was a really nice touch too.,none,1.0
383,687633686,"The hotel is beautiful,  its located right at the heart of the city.",none,1.0
385,687633686,The mtr is just few mtrs away.,none,0.0
387,687633686,Accessible by bus as well from stand opp singapore ceicket club and one Fullerton.,none,1.0
388,687633686,The merlion park is just across the road.,none,0.0
389,687633686,They hotel hosts good number of restaurants  howver i had tried town restaurant  only whoch serves breakfast.,food,1.0
391,687633686,Breakfast was big spread however as a vegetarian who loves warm breakfast i used to end up eating bread butter and hash brown.,food,1.0
393,687633686,They had indian vegetarian  spread as well but,none,1.0
394,687633686,"without indian bread i wouldnt want to eat palak paneer,  or bhindi or gobhi.",food,-1.0
396,687633686,The hotel gives you a handy phone which you can take along while hoing out.,none,0.0
398,687633686,So you dont need a local sim or spend on internationa roaming.,none,0.0
399,687633686,"Internet is accessible, local and international  ",none,0.0
401,687563213,Stayed here for one night on our way back from our trip from Bali and we wish we had stayed our whole trip here.,none,1.0
402,687563213,We were pleasantly greeted at the lobby and checked in by Sue who was simply amazing.,service,1.0
403,687563213,She upgraded us to a nicer room which made our one night stay even more magical.,room,1.0
404,687563213,I honestly can't find any fault with this hotel.,none,1.0
405,687563213,"The rooms were well maintained, spacious, great amenity kits, great views and the staff were all so accommodating and friendly.",room,1.0
406,687563213,In the early evening (after 6pm) in the lobby they have live classical music playing which makes it a great spot to sit down and enjoy a drink or two.  ,food,1.0
407,687563213,We also did the afternoon tea and that was great as well.,food,1.0
408,687563213,For that I do recommend you don't eat a big lunch or even eat lunch since the bites are very filling and you can go up and,food,1.0
409,687477493,Un très bel immeuble reconverti.,none,0.0
410,687477493,Hôtel au personnel discret et efficace.,none,0.0
411,687477493,Nous n’avons pas profité du buffet petit déjeuner mais chambre très confortable.,food,0.0
412,687477493,Emplacement idéal à côté de Raffles place et du métro,none,0.0
